2017-07-03 18:39:56.126 INFO  DefaultFactory Logging to 'C:\src\NServiceBus-tutorial\NServiceBus\NServiceBus.Sales\bin\Debug\' with level Info
2017-07-03 18:39:56.268 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '3/07/2017'

2017-07-03 18:39:56.966 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'TRADEME\lbehal' to group 'Performance Monitor Users' because the user is already in group.
2017-07-03 18:39:57.015 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-07-03 18:39:57.028 WARN  NServiceBus.QueuePermissions Queue [private$\Sales.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-07-03 18:39:57.041 WARN  NServiceBus.QueuePermissions Queue [private$\Sales.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-07-03 18:39:57.052 WARN  NServiceBus.QueuePermissions Queue [private$\Sales.Retries] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-07-03 18:39:57.063 WARN  NServiceBus.QueuePermissions Queue [private$\Sales] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-07-03 18:39:57.073 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-07-03 18:39:57.080 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-07-03 18:39:57.086 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-07-03 18:41:16.678 INFO  DefaultFactory Logging to 'C:\src\NServiceBus-tutorial\NServiceBus\NServiceBus.Sales\bin\Debug\' with level Info
2017-07-03 18:41:16.803 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '3/07/2017'

2017-07-03 18:41:17.063 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'TRADEME\lbehal' to group 'Performance Monitor Users' because the user is already in group.
2017-07-03 18:41:17.124 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-07-03 18:41:17.136 WARN  NServiceBus.QueuePermissions Queue [private$\Sales.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-07-03 18:41:17.146 WARN  NServiceBus.QueuePermissions Queue [private$\Sales.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-07-03 18:41:17.156 WARN  NServiceBus.QueuePermissions Queue [private$\Sales.Retries] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-07-03 18:41:17.166 WARN  NServiceBus.QueuePermissions Queue [private$\Sales] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-07-03 18:41:17.179 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-07-03 18:41:17.185 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-07-03 18:41:17.192 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-07-03 18:41:23.641 INFO  NServiceBus.Sales.PlaceOrderHandler Received PlaceOrder, OrderId = af49bf52-2cc0-41cc-8ffc-311287c0591f
